transaction_id,vehicle_id,vehicle_type,passage_time,lane_number,axle_count,toll_amount,currency,tag_status,vehicle_color,vehicle_make,vehicle_model,passage_status,gantry_id,tag_read_time,plate_captured,image_quality,weather_condition,speed_kmph,over_speed_flag
T100000,KA64AB3294,Truck,2025-06-27 06:00:41,2,5,3.39,AUD,Valid,White,Hyundai,ModelX,Completed,G1,2025-06-27 06:00:46,No,Blur,Foggy,115,Yes
T100001,KA23AB4669,Car,2025-06-27 06:00:20,2,3,15.85,AUD,Expired,Blue,Ford,i20,Completed,G2,2025-06-27 06:00:25,Yes,Glare,Rainy,69,Yes
T100002,KA47AB6855,SUV,2025-06-27 06:00:32,1,5,16.68,AUD,Expired,Grey,Tata,Civic,Failed,G1,2025-06-27 06:00:36,Yes,Good,Rainy,65,No
T100003,KA28AB6892,Truck,2025-06-27 06:00:56,4,2,2.73,AUD,Valid,Black,Ford,Civic,Failed,G3,2025-06-27 06:01:01,No,Good,Foggy,23,No
T100004,KA75AB7693,Bike,2025-06-27 06:00:41,2,4,9.97,AUD,Pending,Grey,Toyota,Figo,Retry,G2,2025-06-27 06:00:45,Yes,Good,Rainy,94,Yes
T100005,KA39AB7649,Truck,2025-06-27 06:02:00,1,5,9.07,AUD,Pending,White,Honda,Figo,Completed,G2,2025-06-27 06:02:05,Yes,Good,Cloudy,117,No
T100006,KA85AB3696,Car,2025-06-27 06:01:30,1,2,6.42,AUD,Expired,Grey,Ford,Figo,Completed,G1,2025-06-27 06:01:35,No,Good,Foggy,98,No
T100007,KA27AB1541,Truck,2025-06-27 06:00:48,3,4,3.51,AUD,Expired,Grey,Hyundai,Figo,Completed,G2,2025-06-27 06:00:50,Yes,Good,Cloudy,85,Yes
T100008,KA91AB3126,Bike,2025-06-27 06:01:03,1,4,16.71,AUD,Pending,Red,Ford,Altroz,Completed,G2,2025-06-27 06:01:04,No,Glare,Foggy,119,No
T100009,KA15AB4563,Car,2025-06-27 06:00:17,1,3,12.95,AUD,Valid,Blue,Ford,ModelX,Retry,G2,2025-06-27 06:00:18,No,Glare,Rainy,22,Yes
T100010,KA70AB6094,Bike,2025-06-27 06:00:12,1,3,7.48,AUD,Pending,White,Honda,Altroz,Retry,G2,2025-06-27 06:00:17,No,Good,Foggy,20,Yes
T100011,KA02AB4158,Bus,2025-06-27 06:00:38,3,4,11.57,AUD,Pending,Grey,Tata,ModelX,Retry,G3,2025-06-27 06:00:40,No,Dark,Cloudy,73,Yes
T100012,KA04AB4798,SUV,2025-06-27 06:00:39,4,5,11.6,AUD,Expired,Black,Tata,Figo,Retry,G2,2025-06-27 06:00:41,No,Blur,Rainy,113,Yes
T100013,KA43AB2692,Bike,2025-06-27 06:01:17,4,4,17.96,AUD,Expired,White,Honda,ModelX,Completed,G3,2025-06-27 06:01:18,No,Blur,Sunny,106,Yes
T100014,KA14AB9852,Car,2025-06-27 06:00:07,4,5,9.6,AUD,Valid,Red,Tata,Civic,Retry,G3,2025-06-27 06:00:10,Yes,Dark,Sunny,57,No
T100015,KA19AB4307,Bus,2025-06-27 06:00:44,3,3,10.51,AUD,Valid,White,Honda,Altroz,Retry,G3,2025-06-27 06:00:48,Yes,Glare,Foggy,117,Yes
T100016,KA82AB5016,Truck,2025-06-27 06:00:16,4,4,5.8,AUD,Expired,Blue,Toyota,Figo,Retry,G3,2025-06-27 06:00:19,Yes,Glare,Rainy,66,No
T100017,KA27AB3674,Bike,2025-06-27 06:01:25,1,2,6.11,AUD,Expired,White,Hyundai,i20,Retry,G3,2025-06-27 06:01:29,No,Blur,Rainy,68,Yes
T100018,KA07AB6363,SUV,2025-06-27 06:00:13,1,5,17.68,AUD,Valid,Grey,Hyundai,i20,Retry,G2,2025-06-27 06:00:15,Yes,Glare,Rainy,49,Yes
T100019,KA84AB2243,Car,2025-06-27 06:00:48,3,4,19.88,AUD,Expired,Black,Ford,ModelX,Completed,G2,2025-06-27 06:00:49,Yes,Dark,Foggy,27,No
T100020,KA73AB5678,Bus,2025-06-27 06:00:04,4,3,19.14,AUD,Expired,Grey,Ford,Civic,Completed,G2,2025-06-27 06:00:05,No,Dark,Foggy,104,Yes
T100021,KA73AB9478,Truck,2025-06-27 06:02:31,2,4,5.62,AUD,Valid,Red,Hyundai,Civic,Retry,G1,2025-06-27 06:02:35,No,Dark,Sunny,117,Yes
T100022,KA27AB1122,Truck,2025-06-27 06:00:12,4,3,17.73,AUD,Pending,Blue,Honda,i20,Completed,G3,2025-06-27 06:00:14,No,Dark,Rainy,85,No
T100023,KA88AB6054,Car,2025-06-27 06:03:39,2,4,17.11,AUD,Valid,Blue,Hyundai,Altroz,Retry,G3,2025-06-27 06:03:43,No,Blur,Sunny,68,Yes
T100024,KA56AB1793,Car,2025-06-27 06:00:16,2,2,14.35,AUD,Expired,White,Ford,ModelX,Failed,G1,2025-06-27 06:00:17,Yes,Good,Sunny,56,Yes
T100025,KA98AB3654,SUV,2025-06-27 06:01:06,2,5,8.16,AUD,Pending,Black,Honda,Altroz,Retry,G2,2025-06-27 06:01:11,Yes,Blur,Rainy,28,No
T100026,KA96AB7729,Bus,2025-06-27 06:00:32,4,3,19.11,AUD,Expired,Grey,Hyundai,ModelX,Completed,G2,2025-06-27 06:00:35,Yes,Blur,Cloudy,74,No
T100027,KA09AB2600,Car,2025-06-27 06:00:49,3,3,16.85,AUD,Valid,Blue,Hyundai,Civic,Failed,G2,2025-06-27 06:00:54,Yes,Blur,Sunny,99,No
T100028,KA92AB8940,Car,2025-06-27 06:00:03,2,5,11.87,AUD,Pending,Grey,Ford,Civic,Failed,G1,2025-06-27 06:00:07,No,Blur,Foggy,30,No
T100029,KA35AB3243,Car,2025-06-27 06:00:20,3,5,6.23,AUD,Pending,White,Tata,i20,Retry,G2,2025-06-27 06:00:22,Yes,Blur,Foggy,40,Yes
T100030,KA82AB3996,SUV,2025-06-27 06:01:25,1,3,18.54,AUD,Pending,Blue,Hyundai,i20,Failed,G3,2025-06-27 06:01:29,Yes,Dark,Cloudy,52,Yes
T100031,KA41AB1067,Car,2025-06-27 06:02:24,3,5,5.92,AUD,Pending,White,Honda,ModelX,Failed,G2,2025-06-27 06:02:29,No,Blur,Rainy,104,Yes
T100032,KA87AB4089,Bike,2025-06-27 06:00:01,4,5,10.97,AUD,Expired,Black,Ford,Figo,Retry,G3,2025-06-27 06:00:04,No,Glare,Sunny,89,No
T100033,KA30AB3803,Bike,2025-06-27 06:00:38,3,4,2.72,AUD,Pending,Blue,Tata,Altroz,Retry,G3,2025-06-27 06:00:42,Yes,Glare,Foggy,22,Yes
T100034,KA58AB9394,Truck,2025-06-27 06:01:09,1,2,3.12,AUD,Valid,Red,Hyundai,Civic,Retry,G1,2025-06-27 06:01:12,Yes,Good,Rainy,70,No
T100035,KA43AB1124,Truck,2025-06-27 06:00:08,4,3,4.92,AUD,Expired,Red,Ford,Civic,Retry,G2,2025-06-27 06:00:13,Yes,Blur,Cloudy,64,No
T100036,KA95AB8814,Bike,2025-06-27 06:04:38,4,2,6.09,AUD,Expired,Black,Ford,Civic,Failed,G2,2025-06-27 06:04:41,Yes,Dark,Rainy,92,Yes
T100037,KA28AB1804,Truck,2025-06-27 06:00:39,1,2,3.0,AUD,Expired,Grey,Tata,ModelX,Completed,G2,2025-06-27 06:00:40,No,Blur,Cloudy,26,No
T100038,KA92AB2264,Bike,2025-06-27 06:00:19,1,5,16.23,AUD,Expired,White,Honda,Civic,Retry,G2,2025-06-27 06:00:23,No,Dark,Cloudy,41,No
T100039,KA53AB6402,Truck,2025-06-27 06:00:24,2,4,13.01,AUD,Pending,Grey,Toyota,Figo,Retry,G3,2025-06-27 06:00:26,No,Glare,Rainy,20,Yes
T100040,KA58AB6889,Bike,2025-06-27 06:02:54,2,2,3.98,AUD,Valid,Grey,Tata,Figo,Failed,G1,2025-06-27 06:02:56,Yes,Dark,Foggy,69,No
T100041,KA57AB9653,Bus,2025-06-27 06:00:45,2,4,17.74,AUD,Pending,Blue,Toyota,Civic,Retry,G2,2025-06-27 06:00:46,Yes,Good,Cloudy,35,No
T100042,KA11AB4878,SUV,2025-06-27 06:01:32,4,2,13.03,AUD,Pending,White,Toyota,ModelX,Retry,G2,2025-06-27 06:01:35,Yes,Dark,Cloudy,41,No
T100043,KA92AB9652,Truck,2025-06-27 06:00:24,1,4,15.25,AUD,Expired,White,Ford,ModelX,Retry,G2,2025-06-27 06:00:25,No,Glare,Foggy,80,No
T100044,KA85AB3301,Bike,2025-06-27 06:01:31,2,5,8.95,AUD,Expired,Red,Honda,Civic,Failed,G3,2025-06-27 06:01:35,Yes,Good,Rainy,53,No
T100045,KA91AB7297,Bus,2025-06-27 06:01:12,3,3,8.9,AUD,Valid,Blue,Hyundai,Civic,Completed,G1,2025-06-27 06:01:14,No,Blur,Rainy,38,No
T100046,KA60AB1933,Car,2025-06-27 06:01:50,4,3,16.24,AUD,Expired,White,Toyota,Civic,Retry,G2,2025-06-27 06:01:51,No,Glare,Foggy,83,No
T100047,KA19AB1775,SUV,2025-06-27 06:01:28,2,4,17.68,AUD,Valid,Blue,Honda,Altroz,Completed,G1,2025-06-27 06:01:31,No,Glare,Rainy,57,No
T100048,KA27AB9224,Bike,2025-06-27 06:00:17,2,5,8.18,AUD,Expired,Black,Ford,i20,Failed,G3,2025-06-27 06:00:18,Yes,Good,Sunny,44,No
T100049,KA78AB7506,Truck,2025-06-27 06:01:34,1,3,17.17,AUD,Expired,White,Honda,i20,Completed,G3,2025-06-27 06:01:38,No,Blur,Rainy,78,Yes
T100050,KA52AB1064,Truck,2025-06-27 06:01:58,3,2,10.45,AUD,Pending,Blue,Honda,i20,Retry,G1,2025-06-27 06:02:03,Yes,Good,Cloudy,76,No
T100051,KA71AB5722,SUV,2025-06-27 06:04:35,2,5,10.52,AUD,Expired,Black,Honda,Altroz,Completed,G2,2025-06-27 06:04:40,No,Glare,Sunny,114,No
T100052,KA80AB5507,Bus,2025-06-27 06:01:51,2,5,15.99,AUD,Expired,Black,Honda,ModelX,Retry,G2,2025-06-27 06:01:55,No,Good,Sunny,98,No
T100053,KA51AB3238,Truck,2025-06-27 06:00:32,4,5,10.59,AUD,Expired,Blue,Ford,Figo,Retry,G2,2025-06-27 06:00:35,No,Dark,Sunny,76,Yes
T100054,KA03AB2128,SUV,2025-06-27 06:01:22,4,3,7.87,AUD,Expired,Red,Honda,Civic,Completed,G1,2025-06-27 06:01:25,Yes,Good,Rainy,28,Yes
T100055,KA04AB1224,Bus,2025-06-27 06:00:28,1,5,6.96,AUD,Valid,Blue,Toyota,ModelX,Failed,G2,2025-06-27 06:00:32,Yes,Good,Cloudy,38,No
T100056,KA84AB4169,SUV,2025-06-27 06:00:38,3,2,4.56,AUD,Valid,Blue,Hyundai,Altroz,Retry,G1,2025-06-27 06:00:42,No,Dark,Sunny,24,Yes
T100057,KA13AB7417,SUV,2025-06-27 06:00:20,3,4,19.47,AUD,Valid,Grey,Toyota,Figo,Retry,G1,2025-06-27 06:00:21,Yes,Good,Cloudy,74,Yes
T100058,KA35AB3459,Bike,2025-06-27 06:00:35,3,5,10.86,AUD,Pending,Blue,Hyundai,Civic,Failed,G3,2025-06-27 06:00:37,Yes,Glare,Foggy,119,No
T100059,KA15AB9943,Truck,2025-06-27 06:02:31,2,5,5.27,AUD,Expired,Grey,Hyundai,Civic,Retry,G2,2025-06-27 06:02:36,No,Good,Foggy,87,No
T100060,KA47AB6639,Bike,2025-06-27 06:00:18,4,2,5.93,AUD,Pending,Red,Ford,i20,Failed,G3,2025-06-27 06:00:19,No,Good,Foggy,57,Yes
T100061,KA06AB5445,Bike,2025-06-27 06:00:50,3,5,12.76,AUD,Expired,Blue,Toyota,Civic,Failed,G2,2025-06-27 06:00:52,Yes,Good,Cloudy,45,No
T100062,KA59AB2895,Truck,2025-06-27 06:00:18,1,5,12.82,AUD,Pending,Blue,Honda,ModelX,Completed,G3,2025-06-27 06:00:20,No,Glare,Rainy,110,No
T100063,KA07AB6336,Bus,2025-06-27 06:00:54,3,3,3.33,AUD,Expired,Black,Honda,Figo,Completed,G1,2025-06-27 06:00:58,Yes,Glare,Sunny,97,Yes
T100064,KA03AB3187,Bike,2025-06-27 06:00:07,1,3,6.75,AUD,Expired,Grey,Toyota,Figo,Completed,G3,2025-06-27 06:00:12,No,Glare,Cloudy,35,No
T100065,KA65AB8498,Bus,2025-06-27 06:02:11,3,4,7.81,AUD,Expired,White,Toyota,Figo,Failed,G3,2025-06-27 06:02:13,No,Glare,Sunny,104,Yes
